,emoji,sentiment
70,🤭,"AnalyzerOutput(output=NEU, probas={NEU: 0.950, POS: 0.042, NEG: 0.008})"
71,🇨🇦,"AnalyzerOutput(output=NEU, probas={NEU: 0.943, POS: 0.048, NEG: 0.009})"
72,🤩,"AnalyzerOutput(output=NEU, probas={NEU: 0.745, POS: 0.251, NEG: 0.005})"
73,👀,"AnalyzerOutput(output=NEU, probas={NEU: 0.912, POS: 0.080, NEG: 0.008})"
74,😏,"AnalyzerOutput(output=NEU, probas={NEU: 0.897, POS: 0.083, NEG: 0.020})"
75,🙈,"AnalyzerOutput(output=NEU, probas={NEU: 0.891, POS: 0.096, NEG: 0.013})"
76,😃,"AnalyzerOutput(output=NEU, probas={NEU: 0.731, POS: 0.265, NEG: 0.004})"
77,😬,"AnalyzerOutput(output=NEG, probas={NEG: 0.695, NEU: 0.295, POS: 0.011})"
78,💗,"AnalyzerOutput(output=NEU, probas={NEU: 0.613, POS: 0.384, NEG: 0.003})"
79,🤢,"AnalyzerOutput(output=NEG, probas={NEG: 0.930, NEU: 0.064, POS: 0.006})"
80,👍🏻,"AnalyzerOutput(output=NEU, probas={NEU: 0.790, POS: 0.207, NEG: 0.003})"
81,⬇️,"AnalyzerOutput(output=NEU, probas={NEU: 0.951, POS: 0.038, NEG: 0.011})"
82,🌲,"AnalyzerOutput(output=NEU, probas={NEU: 0.924, POS: 0.070, NEG: 0.006})"
83,🌊,"AnalyzerOutput(output=NEU, probas={NEU: 0.909, POS: 0.082, NEG: 0.008})"
84,🤦,"AnalyzerOutput(output=NEU, probas={NEU: 0.625, NEG: 0.354, POS: 0.021})"
85,☺️,"AnalyzerOutput(output=NEU, probas={NEU: 0.864, POS: 0.099, NEG: 0.037})"
86,‼️,"AnalyzerOutput(output=NEU, probas={NEU: 0.813, POS: 0.156, NEG: 0.031})"
87,🤦🏻‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.963, POS: 0.031, NEG: 0.006})"
88,🙏🏻,"AnalyzerOutput(output=NEU, probas={NEU: 0.955, POS: 0.037, NEG: 0.008})"
89,🌞,"AnalyzerOutput(output=NEU, probas={NEU: 0.910, POS: 0.086, NEG: 0.004})"
90,👎,"AnalyzerOutput(output=NEG, probas={NEG: 0.782, NEU: 0.205, POS: 0.013})"
91,🧐,"AnalyzerOutput(output=NEU, probas={NEU: 0.914, POS: 0.080, NEG: 0.006})"
92,🌧️,"AnalyzerOutput(output=NEU, probas={NEU: 0.946, POS: 0.046, NEG: 0.008})"
93,💰,"AnalyzerOutput(output=NEU, probas={NEU: 0.934, POS: 0.057, NEG: 0.009})"
94,🇺🇬,"AnalyzerOutput(output=NEU, probas={NEU: 0.938, POS: 0.049, NEG: 0.013})"
95,✊,"AnalyzerOutput(output=NEU, probas={NEU: 0.900, POS: 0.089, NEG: 0.011})"
96,🔴,"AnalyzerOutput(output=NEU, probas={NEU: 0.932, POS: 0.058, NEG: 0.010})"
97,🤓,"AnalyzerOutput(output=NEU, probas={NEU: 0.807, POS: 0.188, NEG: 0.006})"
98,🌻,"AnalyzerOutput(output=NEU, probas={NEU: 0.892, POS: 0.101, NEG: 0.006})"
99,🙃,"AnalyzerOutput(output=NEU, probas={NEU: 0.823, NEG: 0.151, POS: 0.026})"
100,👋,"AnalyzerOutput(output=NEU, probas={NEU: 0.844, POS: 0.151, NEG: 0.005})"
101,✌️,"AnalyzerOutput(output=POS, probas={POS: 0.526, NEU: 0.470, NEG: 0.004})"
102,🐶,"AnalyzerOutput(output=NEU, probas={NEU: 0.914, POS: 0.071, NEG: 0.015})"
103,💐,"AnalyzerOutput(output=NEU, probas={NEU: 0.896, POS: 0.095, NEG: 0.009})"
104,🌴,"AnalyzerOutput(output=NEU, probas={NEU: 0.930, POS: 0.063, NEG: 0.007})"
105,🤨,"AnalyzerOutput(output=NEU, probas={NEU: 0.926, POS: 0.064, NEG: 0.010})"
106,🇮🇳,"AnalyzerOutput(output=NEU, probas={NEU: 0.952, POS: 0.038, NEG: 0.010})"
107,🇬🇧,"AnalyzerOutput(output=NEU, probas={NEU: 0.944, POS: 0.050, NEG: 0.006})"
108,👏🏽,"AnalyzerOutput(output=NEU, probas={NEU: 0.710, POS: 0.286, NEG: 0.003})"
109,💛,"AnalyzerOutput(output=NEU, probas={NEU: 0.848, POS: 0.147, NEG: 0.005})"
110,💉,"AnalyzerOutput(output=NEU, probas={NEU: 0.953, POS: 0.032, NEG: 0.015})"
111,🍀,"AnalyzerOutput(output=NEU, probas={NEU: 0.932, POS: 0.063, NEG: 0.005})"
112,♻️,"AnalyzerOutput(output=NEU, probas={NEU: 0.703, NEG: 0.282, POS: 0.015})"
113,😥,"AnalyzerOutput(output=NEU, probas={NEU: 0.768, POS: 0.180, NEG: 0.052})"
114,🤦🏻‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.963, POS: 0.031, NEG: 0.006})"
115,☀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.875, POS: 0.117, NEG: 0.008})"
116,💥,"AnalyzerOutput(output=NEU, probas={NEU: 0.945, POS: 0.029, NEG: 0.026})"
117,🎊,"AnalyzerOutput(output=NEU, probas={NEU: 0.896, POS: 0.098, NEG: 0.006})"
118,🦋,"AnalyzerOutput(output=NEU, probas={NEU: 0.871, POS: 0.123, NEG: 0.007})"
119,😇,"AnalyzerOutput(output=POS, probas={POS: 0.688, NEU: 0.310, NEG: 0.002})"
120,🤝,"AnalyzerOutput(output=NEU, probas={NEU: 0.816, POS: 0.179, NEG: 0.005})"
121,🌺,"AnalyzerOutput(output=NEU, probas={NEU: 0.961, POS: 0.028, NEG: 0.011})"
122,🤯,"AnalyzerOutput(output=NEU, probas={NEU: 0.821, NEG: 0.120, POS: 0.059})"
123,💀,"AnalyzerOutput(output=NEU, probas={NEU: 0.911, POS: 0.077, NEG: 0.012})"
124,🥴,"AnalyzerOutput(output=NEU, probas={NEU: 0.931, POS: 0.060, NEG: 0.010})"
125,😠,"AnalyzerOutput(output=NEG, probas={NEG: 0.766, NEU: 0.221, POS: 0.013})"
126,🚨,"AnalyzerOutput(output=NEU, probas={NEU: 0.956, POS: 0.033, NEG: 0.011})"
127,😩,"AnalyzerOutput(output=NEU, probas={NEU: 0.899, NEG: 0.076, POS: 0.025})"
128,💞,"AnalyzerOutput(output=NEU, probas={NEU: 0.912, POS: 0.081, NEG: 0.007})"
129,😒,"AnalyzerOutput(output=NEG, probas={NEG: 0.685, NEU: 0.300, POS: 0.015})"
130,☔,"AnalyzerOutput(output=NEU, probas={NEU: 0.925, POS: 0.070, NEG: 0.005})"
131,😋,"AnalyzerOutput(output=POS, probas={POS: 0.695, NEU: 0.302, NEG: 0.003})"
132,⚡,"AnalyzerOutput(output=NEU, probas={NEU: 0.891, POS: 0.102, NEG: 0.007})"
133,🇪🇺,"AnalyzerOutput(output=NEU, probas={NEU: 0.957, POS: 0.034, NEG: 0.009})"
134,🇩🇪,"AnalyzerOutput(output=NEU, probas={NEU: 0.953, POS: 0.037, NEG: 0.010})"
135,🤷‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.034, NEG: 0.031})"
136,💫,"AnalyzerOutput(output=NEU, probas={NEU: 0.911, POS: 0.078, NEG: 0.011})"
137,😞,"AnalyzerOutput(output=NEG, probas={NEG: 0.921, NEU: 0.070, POS: 0.008})"
138,👍🏼,"AnalyzerOutput(output=NEU, probas={NEU: 0.804, POS: 0.193, NEG: 0.003})"
139,🤷🏻‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.963, POS: 0.031, NEG: 0.006})"
140,🤖,"AnalyzerOutput(output=NEU, probas={NEU: 0.876, POS: 0.116, NEG: 0.008})"
141,☠️,"AnalyzerOutput(output=NEU, probas={NEU: 0.864, POS: 0.099, NEG: 0.037})"
142,🐀,"AnalyzerOutput(output=NEU, probas={NEU: 0.924, POS: 0.044, NEG: 0.032})"
143,✔️,"AnalyzerOutput(output=NEU, probas={NEU: 0.943, POS: 0.049, NEG: 0.008})"
144,❗,"AnalyzerOutput(output=NEU, probas={NEU: 0.941, POS: 0.047, NEG: 0.012})"
145,🙏🏼,"AnalyzerOutput(output=NEU, probas={NEU: 0.962, POS: 0.030, NEG: 0.008})"
146,🥵,"AnalyzerOutput(output=NEU, probas={NEU: 0.684, POS: 0.311, NEG: 0.005})"
147,🖤,"AnalyzerOutput(output=NEU, probas={NEU: 0.933, POS: 0.040, NEG: 0.027})"
148,🐝,"AnalyzerOutput(output=NEU, probas={NEU: 0.915, POS: 0.079, NEG: 0.006})"
149,🎶,"AnalyzerOutput(output=NEU, probas={NEU: 0.923, POS: 0.071, NEG: 0.006})"
150,😷,"AnalyzerOutput(output=NEU, probas={NEU: 0.964, POS: 0.024, NEG: 0.012})"
151,☕,"AnalyzerOutput(output=NEU, probas={NEU: 0.738, POS: 0.258, NEG: 0.004})"
152,👊,"AnalyzerOutput(output=NEU, probas={NEU: 0.938, POS: 0.057, NEG: 0.005})"
153,❄️,"AnalyzerOutput(output=NEU, probas={NEU: 0.896, POS: 0.096, NEG: 0.008})"
154,🇺🇦,"AnalyzerOutput(output=NEU, probas={NEU: 0.962, POS: 0.025, NEG: 0.013})"
155,❌,"AnalyzerOutput(output=NEU, probas={NEU: 0.934, POS: 0.058, NEG: 0.008})"
156,⚠️,"AnalyzerOutput(output=NEU, probas={NEU: 0.869, NEG: 0.109, POS: 0.022})"
157,☝️,"AnalyzerOutput(output=NEU, probas={NEU: 0.950, POS: 0.041, NEG: 0.009})"
158,🤥,"AnalyzerOutput(output=NEG, probas={NEG: 0.840, NEU: 0.153, POS: 0.007})"
159,👆,"AnalyzerOutput(output=NEU, probas={NEU: 0.949, POS: 0.043, NEG: 0.008})"
160,🆘,"AnalyzerOutput(output=NEU, probas={NEU: 0.938, POS: 0.054, NEG: 0.008})"
161,⭐,"AnalyzerOutput(output=NEU, probas={NEU: 0.856, POS: 0.136, NEG: 0.008})"
162,📌,"AnalyzerOutput(output=NEU, probas={NEU: 0.910, POS: 0.083, NEG: 0.008})"
163,😮,"AnalyzerOutput(output=NEU, probas={NEU: 0.950, POS: 0.041, NEG: 0.009})"
164,👏🏾,"AnalyzerOutput(output=NEU, probas={NEU: 0.738, POS: 0.259, NEG: 0.003})"
165,🤷,"AnalyzerOutput(output=NEU, probas={NEU: 0.949, POS: 0.037, NEG: 0.013})"
166,🌼,"AnalyzerOutput(output=NEU, probas={NEU: 0.895, POS: 0.099, NEG: 0.006})"
167,🐑,"AnalyzerOutput(output=NEU, probas={NEU: 0.931, POS: 0.050, NEG: 0.019})"
168,🌸,"AnalyzerOutput(output=NEU, probas={NEU: 0.864, POS: 0.132, NEG: 0.005})"
169,😤,"AnalyzerOutput(output=NEU, probas={NEU: 0.965, POS: 0.021, NEG: 0.015})"
170,😪,"AnalyzerOutput(output=NEU, probas={NEU: 0.931, POS: 0.055, NEG: 0.014})"
171,✌,"AnalyzerOutput(output=POS, probas={POS: 0.526, NEU: 0.470, NEG: 0.004})"
172,💓,"AnalyzerOutput(output=NEU, probas={NEU: 0.562, POS: 0.434, NEG: 0.004})"
173,🌟,"AnalyzerOutput(output=NEU, probas={NEU: 0.766, POS: 0.230, NEG: 0.004})"
174,🤞,"AnalyzerOutput(output=NEU, probas={NEU: 0.760, POS: 0.235, NEG: 0.005})"
175,💧,"AnalyzerOutput(output=NEU, probas={NEU: 0.938, POS: 0.052, NEG: 0.010})"
176,😵,"AnalyzerOutput(output=NEU, probas={NEU: 0.921, POS: 0.072, NEG: 0.007})"
177,💨,"AnalyzerOutput(output=NEU, probas={NEU: 0.919, NEG: 0.046, POS: 0.035})"
178,😴,"AnalyzerOutput(output=NEU, probas={NEU: 0.937, POS: 0.050, NEG: 0.013})"
179,☹️,"AnalyzerOutput(output=NEU, probas={NEU: 0.864, POS: 0.099, NEG: 0.037})"
180,😝,"AnalyzerOutput(output=NEU, probas={NEU: 0.944, POS: 0.037, NEG: 0.018})"
181,🌷,"AnalyzerOutput(output=NEU, probas={NEU: 0.924, POS: 0.069, NEG: 0.008})"
182,🥶,"AnalyzerOutput(output=NEU, probas={NEU: 0.914, NEG: 0.059, POS: 0.026})"
183,📍,"AnalyzerOutput(output=NEU, probas={NEU: 0.903, POS: 0.092, NEG: 0.006})"
184,⤵️,"AnalyzerOutput(output=NEU, probas={NEU: 0.951, POS: 0.036, NEG: 0.014})"
185,🏴󠁧󠁢󠁳󠁣󠁴󠁿,"AnalyzerOutput(output=NEU, probas={NEU: 0.940, POS: 0.052, NEG: 0.008})"
186,🍃,"AnalyzerOutput(output=NEU, probas={NEU: 0.935, POS: 0.060, NEG: 0.006})"
187,😑,"AnalyzerOutput(output=NEU, probas={NEU: 0.946, POS: 0.039, NEG: 0.014})"
188,🙏🏽,"AnalyzerOutput(output=NEU, probas={NEU: 0.956, POS: 0.037, NEG: 0.007})"
189,🙏🏾,"AnalyzerOutput(output=NEU, probas={NEU: 0.964, POS: 0.027, NEG: 0.009})"
190,👇🏻,"AnalyzerOutput(output=NEU, probas={NEU: 0.964, POS: 0.028, NEG: 0.008})"
191,😹,"AnalyzerOutput(output=POS, probas={POS: 0.896, NEU: 0.101, NEG: 0.002})"
192,😕,"AnalyzerOutput(output=NEU, probas={NEU: 0.592, NEG: 0.387, POS: 0.021})"
193,🚩,"AnalyzerOutput(output=NEU, probas={NEU: 0.942, POS: 0.050, NEG: 0.008})"
194,🇲🇽,"AnalyzerOutput(output=NEU, probas={NEU: 0.946, POS: 0.044, NEG: 0.011})"
195,🇪🇸,"AnalyzerOutput(output=NEU, probas={NEU: 0.936, POS: 0.056, NEG: 0.008})"
196,🧵,"AnalyzerOutput(output=NEU, probas={NEU: 0.938, POS: 0.051, NEG: 0.011})"
197,🤫,"AnalyzerOutput(output=NEU, probas={NEU: 0.947, POS: 0.031, NEG: 0.022})"
198,❓,"AnalyzerOutput(output=NEU, probas={NEU: 0.938, NEG: 0.034, POS: 0.029})"
199,😌,"AnalyzerOutput(output=POS, probas={POS: 0.901, NEU: 0.096, NEG: 0.002})"
200,🤑,"AnalyzerOutput(output=NEU, probas={NEU: 0.774, NEG: 0.209, POS: 0.017})"
201,😲,"AnalyzerOutput(output=NEU, probas={NEU: 0.788, NEG: 0.132, POS: 0.081})"
202,📢,"AnalyzerOutput(output=NEU, probas={NEU: 0.918, POS: 0.074, NEG: 0.008})"
203,😐,"AnalyzerOutput(output=NEU, probas={NEU: 0.944, POS: 0.047, NEG: 0.009})"
204,📸,"AnalyzerOutput(output=NEU, probas={NEU: 0.861, POS: 0.134, NEG: 0.005})"
205,🇨🇳,"AnalyzerOutput(output=NEU, probas={NEU: 0.948, POS: 0.041, NEG: 0.011})"
206,🇦🇫,"AnalyzerOutput(output=NEU, probas={NEU: 0.956, POS: 0.023, NEG: 0.021})"
207,🌈,"AnalyzerOutput(output=NEU, probas={NEU: 0.770, POS: 0.225, NEG: 0.005})"
208,💡,"AnalyzerOutput(output=NEU, probas={NEU: 0.875, POS: 0.120, NEG: 0.005})"
209,🇫🇷,"AnalyzerOutput(output=NEU, probas={NEU: 0.948, POS: 0.043, NEG: 0.009})"
210,⬆️,"AnalyzerOutput(output=NEU, probas={NEU: 0.926, POS: 0.067, NEG: 0.007})"
211,🥂,"AnalyzerOutput(output=NEU, probas={NEU: 0.889, POS: 0.105, NEG: 0.006})"
212,😈,"AnalyzerOutput(output=POS, probas={POS: 0.537, NEU: 0.460, NEG: 0.002})"
213,🗣️,"AnalyzerOutput(output=NEU, probas={NEU: 0.929, POS: 0.061, NEG: 0.010})"
214,▶️,"AnalyzerOutput(output=NEU, probas={NEU: 0.903, POS: 0.093, NEG: 0.004})"
215,💦,"AnalyzerOutput(output=NEU, probas={NEU: 0.940, NEG: 0.036, POS: 0.024})"
216,🙌🏻,"AnalyzerOutput(output=NEU, probas={NEU: 0.941, POS: 0.053, NEG: 0.006})"
217,😰,"AnalyzerOutput(output=NEU, probas={NEU: 0.817, NEG: 0.162, POS: 0.021})"
218,🇨🇴,"AnalyzerOutput(output=NEU, probas={NEU: 0.937, POS: 0.052, NEG: 0.011})"
219,📚,"AnalyzerOutput(output=NEU, probas={NEU: 0.871, POS: 0.121, NEG: 0.008})"
220,😓,"AnalyzerOutput(output=NEU, probas={NEU: 0.941, NEG: 0.042, POS: 0.017})"
221,❣️,"AnalyzerOutput(output=NEU, probas={NEU: 0.876, POS: 0.118, NEG: 0.006})"
222,💘,"AnalyzerOutput(output=NEU, probas={NEU: 0.863, POS: 0.132, NEG: 0.005})"
223,🔹,"AnalyzerOutput(output=NEU, probas={NEU: 0.920, POS: 0.074, NEG: 0.006})"
224,🤦🏼‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.969, POS: 0.025, NEG: 0.006})"
225,🙉,"AnalyzerOutput(output=NEU, probas={NEU: 0.913, POS: 0.079, NEG: 0.008})"
226,🖕🏻,"AnalyzerOutput(output=NEU, probas={NEU: 0.953, POS: 0.024, NEG: 0.023})"
227,🔗,"AnalyzerOutput(output=NEU, probas={NEU: 0.931, POS: 0.057, NEG: 0.012})"
228,🤷🏻‍♀️,"AnalyzerOutput(output=NEU, probas={NEU: 0.963, POS: 0.031, NEG: 0.006})"
229,💋,"AnalyzerOutput(output=NEU, probas={NEU: 0.833, POS: 0.162, NEG: 0.005})"
230,🧡,"AnalyzerOutput(output=NEU, probas={NEU: 0.860, POS: 0.134, NEG: 0.006})"
231,😫,"AnalyzerOutput(output=NEG, probas={NEG: 0.777, NEU: 0.213, POS: 0.010})"
232,🇸🇦,"AnalyzerOutput(output=NEU, probas={NEU: 0.927, NEG: 0.061, POS: 0.012})"
233,🤧,"AnalyzerOutput(output=NEU, probas={NEU: 0.937, POS: 0.042, NEG: 0.020})"
234,😟,"AnalyzerOutput(output=NEU, probas={NEU: 0.503, NEG: 0.480, POS: 0.016})"
235,✈️,"AnalyzerOutput(output=NEU, probas={NEU: 0.864, POS: 0.099, NEG: 0.037})"
236,📻,"AnalyzerOutput(output=NEU, probas={NEU: 0.923, POS: 0.067, NEG: 0.010})"
237,🇵🇰,"AnalyzerOutput(output=NEU, probas={NEU: 0.959, POS: 0.025, NEG: 0.015})"
238,🎯,"AnalyzerOutput(output=NEU, probas={NEU: 0.953, POS: 0.034, NEG: 0.013})"
239,🌐,"AnalyzerOutput(output=NEU, probas={NEU: 0.951, POS: 0.042, NEG: 0.007})"
240,💵,"AnalyzerOutput(output=NEU, probas={NEU: 0.904, POS: 0.091, NEG: 0.006})"
241,😖,"AnalyzerOutput(output=NEG, probas={NEG: 0.590, NEU: 0.399, POS: 0.011})"
242,🎄,"AnalyzerOutput(output=NEU, probas={NEU: 0.858, POS: 0.137, NEG: 0.005})"
243,🇷🇺,"AnalyzerOutput(output=NEU, probas={NEU: 0.956, POS: 0.034, NEG: 0.010})"
244,🏵️,"AnalyzerOutput(output=NEU, probas={NEU: 0.873, POS: 0.121, NEG: 0.005})"
245,💸,"AnalyzerOutput(output=NEU, probas={NEU: 0.906, POS: 0.090, NEG: 0.004})"
246,💎,"AnalyzerOutput(output=NEU, probas={NEU: 0.883, POS: 0.112, NEG: 0.006})"
247,🙌🏼,"AnalyzerOutput(output=NEU, probas={NEU: 0.946, POS: 0.049, NEG: 0.005})"
248,😚,"AnalyzerOutput(output=NEU, probas={NEU: 0.868, POS: 0.127, NEG: 0.005})"
249,🇧🇷,"AnalyzerOutput(output=NEU, probas={NEU: 0.950, POS: 0.041, NEG: 0.009})"
250,👇🏼,"AnalyzerOutput(output=NEU, probas={NEU: 0.967, POS: 0.027, NEG: 0.007})"
251,👁️,"AnalyzerOutput(output=NEU, probas={NEU: 0.924, POS: 0.068, NEG: 0.008})"
252,🛑,"AnalyzerOutput(output=NEU, probas={NEU: 0.946, POS: 0.035, NEG: 0.019})"
253,🎆,"AnalyzerOutput(output=NEU, probas={NEU: 0.895, POS: 0.095, NEG: 0.010})"
254,🏆,"AnalyzerOutput(output=NEU, probas={NEU: 0.934, POS: 0.053, NEG: 0.013})"
255,💪🏻,"AnalyzerOutput(output=NEU, probas={NEU: 0.930, POS: 0.066, NEG: 0.004})"
256,🤦🏼‍♂️,"AnalyzerOutput(output=NEU, probas={NEU: 0.969, POS: 0.025, NEG: 0.006})"
